pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Dónde se celebró la Copa del Mundo 2022?,Rusia,Catar,Emiratos Árabes Unidos,Arabia Saudita,2
¿Qué equipo ganó la Copa del Mundo 2022?,Argentina,Francia,Brasil,Croacia,1
¿Qué selección fue la anfitriona del torneo?,Rusia,Catar,Arabia Saudita,Irán,2
¿Qué jugador ganó el Balón de Oro como mejor jugador del torneo?,Lionel Messi,Kylian Mbappé,Luka Modric,Neymar Jr.,1
¿Cuál fue el marcador final de la final entre Argentina y Francia?,3-3,4-3,2-2,1-1,1
¿Qué jugador marcó un triplete en la final?,Lionel Messi,Kylian Mbappé,Julián Álvarez,Olivier Giroud,2
¿Qué selección terminó en tercer lugar?,Croacia,Marruecos,Portugal,Inglaterra,1
¿Qué selección africana alcanzó las semifinales por primera vez en la historia?,Camerún,Marruecos,Senegal,Ghana,2
¿Quién fue el máximo goleador del torneo?,Lionel Messi,Kylian Mbappé,Olivier Giroud,Richarlison,2
¿Qué selección eliminó a Brasil en cuartos de final?,Croacia,Marruecos,Argentina,Francia,1
¿Quién anotó el gol más rápido del torneo?,Alphonso Davies,Cristiano Ronaldo,Lionel Messi,Kylian Mbappé,1
¿Cuántos penales atajó Emiliano Martínez en la tanda de la final?,1,2,3,0,1
¿Qué país debutó en una Copa del Mundo en 2022?,Catar,Gales,Senegal,Ecuador,1
¿Qué selección derrotó a Alemania en la fase de grupos?,Japón,España,Costa Rica,Corea del Sur,1
¿Qué jugador se convirtió en el portero con más atajadas en una final?,Hugo Lloris,Emiliano Martínez,Thibaut Courtois,Dominik Livaković,2
¿Qué selección hizo el famoso saludo en forma de corazón después de cada gol?,Corea del Sur,Brasil,Japón,Marruecos,2
¿Qué selección venció a España en octavos por penales?,Portugal,Croacia,Marruecos,Japón,3
¿Qué jugador argentino anotó el gol más joven de su selección en el torneo?,Enzo Fernández,Julián Álvarez,Thiago Almada,Lautaro Martínez,1
¿Qué selección fue eliminada por Marruecos en cuartos?,España,Portugal,Bélgica,Francia,2
¿Qué jugador marcó el gol de chilena contra Serbia en fase de grupos?,Richarlison,Vinícius Jr.,Casemiro,Gabriel Jesus,1
¿Qué selección no logró ganar ningún partido en la fase de grupos?,Catar,Gales,Canadá,Dinamarca,1
¿Qué árbitra hizo historia al ser la primera mujer en arbitrar un partido de la Copa del Mundo masculina?,Stéphanie Frappart,Bibiana Steinhaus,Kateryna Monzul,Sian Massey-Ellis,1
¿Qué selección goleó 7-0 en su debut en fase de grupos?,España,Brasil,Inglaterra,Francia,1
¿Qué selección anotó un gol olímpico en el torneo?,Argentina,Marruecos,Japón,Brasil,4
¿Qué selección tuvo la mejor defensa en la fase de grupos, sin recibir goles?,Croacia,Marruecos,Brasil,Argentina,2
¿Qué jugador convirtió el gol que eliminó a Portugal en cuartos de final?,Achraf Hakimi,Youssef En-Nesyri,Hakim Ziyech,Sofyan Amrabat,2
¿Qué selección derrotó a Bélgica y clasificó a octavos?,Croacia,Japón,Marruecos,Corea del Sur,3
¿Qué jugador marcó el gol decisivo en la tanda de penales de la final?,Lionel Messi,Gonzalo Montiel,Paulo Dybala,Enzo Fernández,2
¿Qué equipo fue eliminado con un autogol en octavos de final?,Japón,España,Suiza,Senegal,4
¿Qué portero fue galardonado con el Guante de Oro?,Dominik Livaković,Hugo Lloris,Emiliano Martínez,Yassine Bounou,3
¿Qué selección sorprendió venciendo a Argentina en su primer partido?,México,Arabia Saudita,Polonia,Australia,2
¿Qué equipo europeo no logró superar la fase de grupos?,Dinamarca,Alemania,Bélgica,Todos los anteriores,4
